path,class,gone_syms,n_gone,lines_base,lines_premerge,lines_fork,lines_upstream,applies_3way,carries_brand,tranche
.github/ISSUE_TEMPLATE/bug_report.yml,PORT-AS-IS,,0,162,,162,162,yes,yes,
.github/ISSUE_TEMPLATE/config.yml,PORT-AS-IS,,0,11,,13,11,yes,no,
.github/ISSUE_TEMPLATE/feature_request.yml,PORT-AS-IS,,0,85,,85,85,yes,yes,
.github/ISSUE_TEMPLATE/setup_help.yml,PORT-AS-IS,,0,112,,112,112,yes,yes,
.github/PULL_REQUEST_TEMPLATE.md,PORT-AS-IS,,0,75,,50,75,yes,no,
.github/workflows/contributor-check.yml,PORT-AS-IS,,0,108,,113,108,yes,no,
.github/workflows/docs-site-checks.yml,PORT-AS-IS,,0,56,,61,56,yes,no,
.github/workflows/history-check.yml,PORT-AS-IS,,0,81,,86,81,yes,no,
.github/workflows/osv-scanner.yml,PORT-AS-IS,,0,141,,147,141,yes,no,
AGENTS.md,PORT-AS-IS,,0,1509,,1451,1608,yes,yes,
CONTRIBUTING.md,PORT-AS-IS,,0,993,,922,993,yes,yes,
Dockerfile,PORT-AS-IS,,0,457,,462,457,yes,no,
README.md,PORT-AS-IS,,0,264,,480,264,yes,yes,
README.zh-CN.md,PORT-AS-IS,,0,208,,206,208,yes,yes,
SECURITY.md,PORT-AS-IS,,0,335,,335,335,yes,yes,
acp_adapter/auth.py,PORT-AS-IS,,0,79,79,79,79,yes,yes,
acp_adapter/entry.py,PORT-AS-IS,,0,282,266,282,282,yes,yes,
acp_adapter/events.py,PORT-AS-IS,,0,279,283,283,279,yes,no,
acp_adapter/permissions.py,PORT-AS-IS,,0,182,170,184,182,yes,no,
acp_adapter/server.py,PORT-AS-IS,,0,2484,1953,2489,2640,yes,yes,
acp_adapter/tools.py,PORT-AS-IS,,0,1348,1357,1348,1348,yes,no,
agent/agent_runtime_helpers.py,PORT-AS-IS,,0,4086,2292,4254,4448,yes,yes,
agent/anthropic_adapter.py,PORT-AS-IS,,0,3186,2221,3197,3239,yes,yes,
agent/azure_identity_adapter.py,PORT-AS-IS,,0,571,555,571,571,yes,no,
agent/background_review.py,PORT-AS-IS,,0,1144,582,1144,1376,yes,yes,
agent/bedrock_adapter.py,PORT-AS-IS,,0,1573,1290,1574,1585,yes,yes,
agent/context_references.py,PORT-AS-IS,,0,621,518,621,720,yes,yes,
agent/conversation_compression.py,PORT-AS-IS,,0,4133,605,4133,4419,yes,yes,
agent/conversation_loop.py,PORT-AS-IS,,0,7757,4386,7960,8436,yes,yes,
agent/copilot_acp_client.py,PORT-AS-IS,,0,756,688,758,840,yes,yes,
agent/credential_sources.py,PORT-AS-IS,,0,451,448,451,451,yes,yes,
agent/curator.py,PORT-AS-IS,,0,2019,1781,2019,2034,yes,yes,
